iter	Logloss
0	0.6882946415
1	0.6851435716
2	0.6822814378
3	0.679384414
4	0.6775907919
5	0.6767357141
6	0.6751370211
7	0.6736227572
8	0.6723983953
9	0.6716096848
10	0.6712029921
11	0.6705887772
12	0.66997646
13	0.6692652686
14	0.6687865745
15	0.6682112255
16	0.6680706791
17	0.6674772064
18	0.6668982331
19	0.6667455203
20	0.6662321687
21	0.6659349377
22	0.6658447216
23	0.6656004327
24	0.6652343963
25	0.6648945516
26	0.6644498997
27	0.6643298267
28	0.6640320149
29	0.6638604317
30	0.6637231167
31	0.6636655388
32	0.6636106106
33	0.6635948848
34	0.6635709835
35	0.6632510368
36	0.6631499287
37	0.6629929543
38	0.6629470627
39	0.6626189277
40	0.6626137891
41	0.6623998904
42	0.6623293618
43	0.6621436307
44	0.6618951034
45	0.6618792988
46	0.661761785
