iter	PRAUC:type=Classic	Logloss
0	0.6086232658	0.6915482559
1	0.6051111171	0.690312011
2	0.6059255008	0.6889893888
3	0.6045055629	0.687817499
4	0.6059776165	0.6866660304
5	0.6062676297	0.6857789617
6	0.6066237515	0.6846939476
7	0.6067283499	0.6836908145
8	0.606797413	0.6827806626
9	0.6068380772	0.6820554383
10	0.6073747182	0.6812373113
11	0.607251246	0.6805572883
12	0.6074431162	0.6799183322
13	0.607786357	0.6793120604
14	0.6072784953	0.6787088364
15	0.6073382846	0.6781860373
16	0.6076522504	0.6776983684
17	0.6076985109	0.6771283282
18	0.607856678	0.6766659931
19	0.6078881037	0.6762339667
20	0.6080409734	0.6757976283
21	0.6080967675	0.6753653633
22	0.6083607847	0.6750678595
23	0.60791607	0.6747087272
24	0.6078700748	0.6743899065
25	0.6081144309	0.6740921494
26	0.6085064995	0.6737748064
27	0.6084528052	0.6734691475
28	0.6084185418	0.673209019
29	0.6084689133	0.6728886184
30	0.6084295575	0.6726660908
31	0.60864849	0.6724142418
32	0.6087071689	0.6721594162
33	0.6087222283	0.6719903559
34	0.6089011432	0.6717800355
35	0.6090850445	0.6715908687
36	0.609132952	0.6714267862
37	0.6091576064	0.6712773393
38	0.609518	0.6711215782
39	0.6095799071	0.6709300803
40	0.6095804069	0.670754431
41	0.6096694883	0.6706140333
42	0.6104707465	0.6704450569
43	0.6106160202	0.6702670977
44	0.6109025993	0.6701003722
45	0.6115713395	0.6699455873
46	0.6117179172	0.6698515852
47	0.6124646027	0.6696672623
48	0.6125251033	0.6695383945
49	0.6127760041	0.669402991
50	0.6129372882	0.6692899054
51	0.6130557303	0.6691913351
52	0.6131582334	0.6690898948
53	0.6132370207	0.6690065093
54	0.6133102143	0.6689422034
55	0.6132794077	0.6688734815
56	0.613548284	0.6687318098
57	0.6136785475	0.6686312596
58	0.6137548423	0.6685426694
59	0.6139183892	0.6684352769
60	0.6139412409	0.6683482393
61	0.6140357694	0.6682847294
62	0.6140639974	0.6682377323
63	0.6141600131	0.668145271
64	0.6142585214	0.6680473111
65	0.6142390091	0.6679946123
66	0.6143933038	0.6678892322
67	0.6149155471	0.6677454652
68	0.6149309803	0.6676699314
69	0.6150817061	0.6675629969
70	0.6150577164	0.66752161
71	0.6150940238	0.6674775883
72	0.6150635884	0.6674283209
73	0.6151456049	0.6673822351
74	0.6152303717	0.6673379858
75	0.6152796327	0.6672748515
76	0.6152663006	0.667231445
77	0.6153771783	0.6671684263
78	0.6154934783	0.6670943026
79	0.6155692732	0.6670326389
80	0.6156811974	0.666975659
81	0.6156684019	0.6669382412
82	0.6157114716	0.6668866739
83	0.615813348	0.6668210009
84	0.6159545436	0.6667539749
85	0.6160223476	0.6667065156
86	0.616021525	0.6666808895
87	0.6161791742	0.6666176194
88	0.616245001	0.6665747913
89	0.6162990618	0.6665333178
90	0.6162958642	0.666505606
91	0.6163713415	0.6664588359
92	0.6163705	0.6664299067
93	0.6163996945	0.6664000825
94	0.6164778819	0.666338786
95	0.6165010926	0.6663172638
96	0.6165642097	0.6662797401
97	0.6166420953	0.6662220908
98	0.6169068646	0.66613678
99	0.6169538367	0.6660963357
100	0.616993966	0.6660682933
101	0.6170407377	0.6660208054
102	0.6171009251	0.6659949293
103	0.6174540986	0.6658884659
104	0.6175334302	0.665839308
105	0.6175433909	0.6658200369
106	0.6175933494	0.6657868569
107	0.6176657872	0.6657361623
108	0.6177827979	0.6656761492
109	0.6178300391	0.6656252403
110	0.6178574914	0.6656102327
111	0.6179115508	0.6655684337
112	0.6179330444	0.6655544856
113	0.6179660799	0.6655274203
114	0.6179927147	0.665517126
115	0.6179896032	0.6654914848
116	0.6181931939	0.6654242428
117	0.618235625	0.6654043625
118	0.6182355402	0.6654013847
119	0.6182505275	0.6653929138
120	0.6183073404	0.6653575126
121	0.6183899345	0.6653310899
122	0.6184118277	0.6653084288
123	0.6183973461	0.6652914511
124	0.618506165	0.6652296535
