iter	Passed	Remaining
0	1861	1859646
1	3196	1595148
2	4018	1335539
3	5419	1349568
4	6870	1367194
5	8490	1406660
6	9980	1415740
7	11413	1415282
8	12988	1430154
9	14389	1424570
10	15098	1357480
11	16154	1330039
12	17606	1336719
13	19194	1351813
14	20654	1356337
15	22110	1359810
16	22941	1326535
17	24287	1324993
18	25812	1332761
19	27205	1333078
20	28102	1310122
21	29452	1309279
22	30883	1311865
23	32184	1308847
24	33648	1312299
25	35142	1316473
26	36449	1313520
27	37006	1284645
28	38384	1285225
29	39753	1285364
30	40803	1275441
31	42281	1279006
32	43758	1282246
33	45204	1284331
34	45780	1262233
35	47152	1262631
36	47799	1244069
37	49203	1245629
38	50621	1247363
39	52057	1249383
40	53763	1257550
41	55385	1263308
42	57130	1271494
43	58583	1272862
44	60089	1275232
45	61549	1276485
46	62874	1274883
47	64239	1274076
48	65078	1263062
49	66456	1262673
50	67802	1261658
51	69017	1258238
52	70341	1256856
53	71757	1257083
54	73216	1257998
55	74466	1255297
56	75937	1256292
57	77316	1255719
58	78775	1256397
59	80337	1258613
60	81087	1248216
61	82651	1250443
62	84381	1255011
63	86046	1258434
64	87792	1262855
65	89657	1268791
66	91334	1271866
67	92083	1262087
68	93307	1258975
69	94465	1255045
70	95794	1253430
71	97883	1261606
72	99093	1258350
73	100537	1258071
74	104256	1285834
75	107276	1304262
76	110615	1325944
77	114533	1353846
78	118123	1377116
79	121053	1392116
80	124630	1414014
81	128396	1437410
82	131532	1453197
83	132648	1446503
84	133796	1440279
85	136920	1455178
86	140273	1472070
87	143495	1487137
88	147244	1507183
89	151387	1530692
90	153109	1529415
91	153998	1519901
92	155155	1513183
93	156992	1513142
94	158558	1510481
95	159885	1505585
96	161397	1502496
97	163027	1500522
98	164666	1498631
99	166187	1495688
100	167681	1492529
101	169263	1490186
102	170722	1486781
103	172148	1483129
104	172695	1472022
105	173972	1467274
106	175460	1464353
107	176491	1457692
108	177790	1453313
109	179414	1451623
110	181231	1451488
111	183025	1451129
112	184618	1449170
113	186440	1449004
114	189807	1460690
115	193524	1474788
116	197359	1489470
117	199610	1492004
118	203137	1503903
119	206346	1513204
120	209593	1522585
121	211983	1525589
122	213383	1521444
123	215093	1519528
124	216310	1514175
125	218111	1512928
126	219007	1505462
127	220574	1502665
128	221997	1498913
129	224547	1502740
130	226761	1504239
131	228880	1505061
132	230472	1502401
133	231470	1495922
134	232517	1489836
135	233339	1482394
136	234987	1480248
137	235684	1472172
138	237310	1469960
139	237791	1460720
140	239461	1458848
141	241220	1457517
142	242892	1455653
143	243692	1448617
144	244476	1441569
145	245734	1437380
146	246708	1431582
147	248204	1428852
148	249777	1426581
149	251283	1423942
150	252912	1422004
151	254229	1418333
152	255637	1415197
153	256420	1408645
154	258255	1407908
155	260270	1408127
156	262010	1406845
157	263761	1405612
158	265564	1404654
159	268905	1411753
160	271650	1415620
161	274721	1421090
162	276069	1417606
163	277651	1415347
164	281405	1424083
165	283050	1422073
166	286774	1430436
167	290187	1437121
168	292781	1439653
169	296506	1447650
170	298668	1447931
171	300226	1445278
172	301822	1442815
173	303222	1439435
174	304861	1437206
175	306390	1434466
176	307840	1431369
177	309391	1428762
178	310924	1426084
179	312330	1422840
180	313884	1420283
181	315323	1417222
182	316748	1414117
183	317521	1408137
184	319003	1405337
185	320403	1402194
186	321958	1399742
187	323432	1396954
188	324978	1394482
189	325534	1387804
190	326474	1382814
191	328041	1380509
192	329571	1378053
193	330387	1372641
194	331871	1370034
195	332969	1365855
196	333876	1360926
197	335250	1357931
198	335820	1351721
199	336554	1346219
200	337572	1341891
201	338804	1338443
202	340319	1336131
203	341348	1331926
204	341836	1325658
205	343506	1324002
206	345116	1322113
207	346184	1318163
208	347665	1315804
209	349022	1312989
210	350457	1310476
211	352002	1308387
212	353334	1305511
213	354830	1303256
214	356238	1300683
215	356821	1295129
216	358379	1293137
217	359988	1291335
218	361342	1288621
219	362800	1286292
220	363660	1281861
221	365108	1279524
222	365610	1273897
223	367002	1271401
224	368602	1269632
225	369482	1265396
226	370432	1261427
227	372041	1259720
228	373245	1256646
229	374813	1254812
230	376308	1252733
231	377192	1248636
232	378809	1246983
233	380383	1245186
234	381052	1240447
235	382608	1238615
236	383703	1235297
237	384715	1231734
238	386237	1229820
239	387805	1228050
240	388457	1223398
241	389683	1220579
242	391317	1219042
243	392770	1216944
244	393595	1212916
245	395126	1211080
246	396763	1209566
247	398146	1207282
248	399821	1205887
249	400482	1201448
250	401020	1196670
251	401713	1192386
252	403671	1191868
253	405369	1190574
254	407178	1189599
255	409196	1189228
256	410435	1186589
257	411663	1183931
258	412991	1181571
259	414605	1180032
260	416010	1177898
261	416484	1173151
262	417901	1171077
263	419436	1169338
264	420725	1166918
265	422311	1165326
266	423828	1163544
267	424304	1158920
268	425681	1156778
269	427116	1154797
270	428558	1152837
271	429969	1150801
272	430827	1147294
273	432324	1145502
274	433847	1143780
275	435412	1142167
276	436961	1140515
277	437444	1136096
278	438950	1134348
279	440457	1132605
280	441986	1130919
281	443587	1129417
282	445124	1127754
283	446753	1126321
284	448357	1124826
285	449891	1123155
286	451642	1122024
287	453294	1120645
288	454910	1119175
289	456394	1117378
290	457888	1115610
291	459408	1113907
292	461014	1112414
293	462575	1110810
294	463914	1108677
295	465290	1106635
296	466781	1104873
297	468181	1102897
298	469747	1101313
299	471178	1099417
300	472784	1097927
301	474388	1096434
302	475939	1094817
303	477534	1093303
304	479047	1091599
305	480614	1090021
306	482169	1088416
307	483758	1086885
308	485232	1085099
309	486793	1083507
310	488316	1081832
311	489833	1080144
312	491317	1078385
313	494575	1080505
314	497967	1082881
315	501212	1084903
316	504533	1087055
317	507640	1088714
318	511052	1090992
319	514300	1092888
320	518222	1096176
321	520678	1096335
322	522023	1094148
323	523480	1092201
324	524869	1090114
325	526378	1088279
326	527929	1086533
327	529479	1084787
328	530942	1082864
329	532312	1080755
330	533683	1078653
331	535138	1076723
332	536466	1074544
333	537881	1072542
334	539392	1070734
335	540786	1068697
336	542225	1066752
337	543690	1064861
338	545100	1062865
339	546472	1060798
340	547911	1058867
341	549379	1056993
342	550970	1055358
343	552441	1053492
344	554008	1051812
345	555528	1050045
346	557258	1048673
347	558767	1046885
348	560415	1045358
349	561922	1043569
350	563593	1042086
351	565142	1040376
352	566572	1038448
353	568023	1036562
354	569731	1035145
355	571551	1033930
356	573200	1032403
357	574810	1030806
358	576402	1029174
359	578130	1027786
360	579699	1026115
361	581429	1024729
362	582938	1022952
363	584695	1021610
364	586208	1019841
365	587703	1018044
366	589188	1016230
367	591313	1015516
368	593347	1014641
369	595275	1013577
370	597308	1012687
371	598838	1010941
372	600465	1009361
373	601921	1007494
374	603368	1005614
375	604803	1003716
376	606299	1001921
377	607845	1000211
378	609691	998992
379	611182	997192
380	612641	995341
381	614199	993651
382	615816	992060
383	617328	990297
384	618931	988683
385	620608	987185
386	622079	985361
387	623696	983769
388	625263	982097
389	626916	980561
390	628557	979006
391	630122	977333
392	631698	975676
393	633359	974151
394	635015	972618
395	637118	971766
396	638840	970329
397	640611	968964
398	642291	967460
399	643914	965871
400	645490	964211
401	646958	962391
402	648472	960640
403	650183	959182
404	651722	957469
405	653098	955518
406	654645	953820
407	656146	952055
408	657613	950243
409	659108	948473
410	660523	946590
411	661926	944691
412	663337	942806
413	664858	941079
414	666379	939353
415	667909	937641
416	669554	936091
417	671076	934369
418	672616	932673
419	674068	930856
420	675654	929225
421	677114	927421
422	678618	925679
423	680220	924073
424	681776	922402
425	683528	920997
426	685053	919287
427	686595	917598
428	688137	915912
429	689794	914379
430	691200	912513
431	692762	910854
432	694217	909055
433	695705	907302
434	697158	905504
435	698768	903911
436	700199	902087
