iter	Passed	Remaining
0	264	264361
1	539	269332
2	827	275023
3	1103	274825
4	1321	262981
5	1613	267264
6	1750	248290
7	2024	251018
8	2198	242081
9	2354	233070
10	2643	237655
11	2896	238474
12	3063	232564
13	3301	232530
14	3568	234325
15	3844	236446
16	4107	237526
17	4257	232294
18	4509	232842
19	4718	231193
20	4964	231431
21	5250	233423
22	5385	228785
23	5654	229938
24	5907	230403
25	6087	228031
26	6256	225467
27	6378	221435
28	6472	216723
29	6733	217715
30	6837	213728
31	7089	214470
32	7211	211311
33	7304	207529
34	7574	208838
35	7814	209268
36	8069	210016
37	8355	211537
38	8532	210258
39	8668	208054
40	8787	205539
41	9069	206860
42	9374	208630
43	9483	206057
44	9588	203498
45	9801	203267
46	9959	201948
47	10204	202393
48	10497	203729
49	10663	202604
50	10944	203652
51	11204	204275
52	11397	203657
53	11648	204062
54	11930	204984
55	12220	206008
56	12496	206742
57	12656	205553
58	12923	206121
59	13210	206970
60	13504	207877
61	13678	206942
62	13778	204923
63	14070	205776
64	14161	203711
65	14431	204231
66	14528	202310
67	14651	200813
68	14770	199298
69	14912	198121
70	15196	198838
71	15483	199560
72	15704	199425
73	16007	200306
74	16203	199842
75	16474	200300
76	16725	200484
77	17011	201081
78	17283	201494
79	17415	200276
80	17672	200509
81	17801	199285
82	18013	199011
83	18292	199477
84	18495	199097
85	18590	197574
86	18662	195848
87	18783	194665
88	18966	194143
89	19130	193434
90	19406	193847
91	19697	194402
92	19787	192985
93	19891	191717
94	19993	190462
95	20150	189748
96	20428	190171
97	20694	190470
98	20777	189093
99	20990	188910
100	21147	188229
101	21357	188029
102	21640	188457
103	21752	187408
104	22030	187782
105	22151	186821
106	22309	186186
107	22579	186490
108	22854	186823
109	23024	186289
110	23284	186483
111	23471	186095
112	23766	186557
113	23859	185437
114	23989	184615
115	24144	183997
116	24436	184423
117	24659	184322
118	24763	183335
119	24871	182391
120	25043	181928
121	25319	182220
122	25540	182106
123	25746	181886
124	26014	182104
125	26168	181520
126	26366	181242
127	26590	181146
128	26846	181267
129	27145	181666
130	27248	180754
131	27406	180221
132	27523	179422
133	27655	178729
134	27907	178817
135	28184	179056
136	28466	179315
137	28638	178884
138	28897	178998
139	29094	178723
140	29196	177870
141	29279	176911
142	29501	176805
143	29648	176245
144	29797	175703
145	29894	174863
146	30139	174893
147	30429	175175
148	30650	175060
149	30934	175293
150	31248	175696
151	31604	176320
152	31793	176008
153	32115	176425
154	32233	175725
155	32496	175816
156	32776	175991
157	32946	175578
158	33231	175770
159	33354	175111
160	33632	175266
161	33719	174423
162	33943	174299
163	34203	174355
164	34333	173747
165	34600	173835
166	34866	173916
167	35072	173690
168	35224	173203
169	35496	173305
170	35788	173502
171	36066	173620
172	36175	172929
173	36320	172418
174	36494	172044
175	36764	172125
176	37062	172332
177	37344	172456
178	37455	171794
179	37566	171134
180	37773	170918
181	37938	170514
182	38070	169964
183	38179	169319
184	38444	169364
185	38573	168810
186	38673	168135
187	38945	168212
188	39037	167509
189	39121	166779
190	39282	166385
191	39459	166058
192	39761	166257
193	40058	166429
194	40174	165848
195	40469	166006
196	40555	165307
197	40822	165349
198	40932	164757
199	41083	164332
200	41357	164400
201	41641	164504
202	41926	164608
203	42217	164729
204	42517	164883
205	42817	165036
206	43088	165066
207	43380	165179
208	43555	164843
209	43828	164877
210	44098	164900
211	44263	164527
212	44410	164089
213	44490	163410
214	44750	163390
215	44953	163166
216	45082	162671
217	45169	162028
218	45258	161402
219	45513	161366
220	45644	160891
221	45922	160936
222	46113	160671
223	46195	160033
224	46367	159710
225	46623	159675
226	46747	159190
227	46857	158658
228	46976	158160
229	47066	157570
230	47179	157061
231	47312	156621
232	47441	156170
233	47588	155781
234	47853	155779
235	48144	155858
236	48442	155954
237	48616	155655
238	48884	155654
239	49017	155220
240	49276	155189
241	49477	154975
242	49584	154466
243	49743	154124
244	50033	154183
245	50209	153895
246	50320	153406
247	50600	153432
248	50729	153002
249	50869	152607
250	50961	152071
251	51226	152052
252	51381	151707
253	51658	151720
254	51933	151728
255	52229	151792
256	52374	151416
257	52664	151460
258	52956	151508
259	53190	151388
260	53468	151391
261	53738	151370
262	54033	151416
263	54337	151486
264	54621	151497
265	54907	151512
266	55194	151525
267	55492	151568
268	55808	151657
269	56116	151721
270	56454	151865
271	56795	152011
272	57158	152212
273	57548	152482
274	57899	152645
275	58271	152855
276	58638	153054
277	58970	153154
278	59282	153199
279	59619	153308
280	59960	153422
281	60298	153526
282	60651	153664
283	60989	153762
284	61458	154186
285	61813	154318
286	62222	154581
287	62579	154711
288	62958	154890
289	63346	155089
290	63722	155254
291	64068	155345
292	64430	155469
293	64811	155635
294	65243	155921
295	65620	156070
296	65968	156148
297	66315	156220
298	66661	156287
299	67016	156372
300	67341	156384
301	67638	156328
302	67944	156294
303	68274	156313
304	68630	156388
305	68957	156394
306	69311	156459
307	69668	156528
308	70015	156571
309	70351	156589
310	70647	156515
311	70967	156492
312	71268	156427
313	71593	156411
314	71911	156380
315	72230	156346
316	72541	156296
317	72850	156239
318	73146	156153
319	73451	156084
320	73792	156090
321	74281	156405
322	74704	156579
323	75128	156750
324	75604	157023
325	75984	157097
326	76400	157239
327	76916	157585
328	77562	158188
329	78049	158463
330	78480	158620
331	78913	158777
332	79309	158857
333	79714	158952
334	80036	158877
335	80373	158833
336	80722	158810
337	81230	159095
338	81686	159275
339	82103	159376
340	82472	159381
341	82883	159465
342	83223	159411
343	83529	159288
344	83829	159155
345	84146	159051
346	84485	158988
347	84793	158866
348	85120	158777
349	85422	158641
350	85712	158482
351	86007	158331
352	86307	158190
353	86614	158060
354	86923	157931
355	87227	157793
356	87522	157637
357	87818	157483
358	88128	157354
359	88423	157197
360	88723	157048
361	89047	156940
362	89420	156917
363	89799	156903
364	90158	156851
365	90547	156849
366	90958	156884
367	91403	156976
368	91822	157018
369	92198	156985
370	92548	156907
371	92881	156800
372	93201	156667
373	93530	156551
374	93875	156459
375	94254	156422
376	94590	156313
377	94896	156152
378	95187	155967
379	95476	155777
380	95764	155586
381	96050	155390
382	96345	155208
383	96640	155026
384	96945	154860
385	97241	154678
386	97552	154520
387	97868	154370
388	98191	154228
389	98497	154060
390	98815	153909
391	99178	153828
392	99492	153669
393	99801	153502
394	100124	153354
395	100433	153186
396	100724	152988
397	101020	152799
398	101324	152621
399	101637	152456
400	101941	152277
401	102244	152095
402	102543	151906
403	102836	151709
404	103157	151552
405	103541	151486
406	103949	151455
407	104347	151406
408	104822	151467
409	105308	151541
410	105751	151551
411	106119	151451
412	106562	151457
413	107019	151481
414	107432	151440
415	107771	151294
416	108121	151162
417	108464	151020
418	108774	150830
419	109095	150655
420	109561	150679
421	110023	150696
422	110495	150723
423	110992	150782
424	111411	150733
425	111805	150649
426	112182	150540
427	112549	150416
428	112908	150281
429	113246	150117
430	113584	149952
431	113919	149782
432	114248	149604
433	114567	149413
434	114893	149229
435	115204	149025
436	115548	148864
437	115874	148678
438	116200	148492
439	116511	148286
440	116854	148121
441	117189	147945
442	117517	147759
443	117850	147578
