iter	Passed	Remaining
0	315	315505
1	638	318415
2	1030	342370
3	1368	340678
4	1661	330712
5	1963	325281
6	2305	327067
7	2603	322804
8	2773	305346
9	2958	292843
10	3113	279938
11	3412	280972
12	3735	283590
13	3905	275025
14	4023	264235
15	4335	266644
16	4529	261935
17	4691	255958
18	4844	250109
19	5157	252700
20	5265	245482
21	5559	247142
22	5837	247946
23	6160	250516
24	6330	246903
25	6680	250271
26	6966	251044
27	7310	253788
28	7466	250009
29	7689	248630
30	7990	249756
31	8215	248518
32	8508	249335
33	8822	250675
34	9148	252236
35	9465	253457
36	9771	254327
37	10124	256307
38	10466	257904
39	10783	258799
40	10872	254311
41	11193	255320
42	11553	257137
43	11890	258350
44	12220	259354
45	12552	260320
46	12831	260170
47	13156	260927
48	13468	261396
49	13567	257777
50	13700	254939
51	13790	251411
52	14159	253008
53	14474	253564
54	14798	254260
