iter	PRAUC:type=Classic	Logloss
0	0.5853428632	0.6917080339
1	0.607494213	0.690321395
2	0.607469183	0.6891513974
3	0.6093275429	0.6878543266
4	0.6088549635	0.6866776943
5	0.6090647525	0.6857457887
6	0.6100014006	0.6845329082
7	0.6100777065	0.6837690159
8	0.6108484391	0.6827869013
9	0.6109774841	0.682012848
10	0.6112376597	0.6811092811
11	0.6112899454	0.6805459232
12	0.6112661224	0.6799380637
13	0.6114848942	0.6791938362
14	0.6114456966	0.6786859276
15	0.6102851216	0.6781571991
16	0.6102988756	0.6778142059
17	0.6104935388	0.6772164935
18	0.6106668037	0.6765954297
19	0.6106331327	0.676007104
20	0.6105942537	0.675591023
21	0.6107373947	0.6751261454
22	0.6109231847	0.6748043972
23	0.6110052607	0.6745089157
24	0.6112310972	0.6740272736
25	0.6111147777	0.6736216069
26	0.6113517645	0.6733291234
27	0.6114215637	0.6730211123
28	0.6128338037	0.6727291127
29	0.6128248689	0.6723359513
30	0.6127678641	0.67202021
31	0.6129229058	0.6717143751
32	0.6132718873	0.6714977043
33	0.6132711497	0.6712989805
34	0.6134336625	0.6709696994
35	0.6146970434	0.6707705787
36	0.614604471	0.6706297369
37	0.6147920702	0.6703902184
38	0.6148843156	0.6701983506
39	0.6148345986	0.6700166253
40	0.6149047685	0.6698798075
41	0.6149751031	0.6697248226
42	0.6149773191	0.6695406769
43	0.6150410255	0.6693888192
44	0.6149758451	0.6692332858
45	0.614931856	0.6691024896
46	0.6152106133	0.6689384163
47	0.6152818673	0.6688228459
48	0.615401629	0.6686992792
49	0.6154985726	0.6685137017
50	0.6154959534	0.6684165215
51	0.6156519885	0.6682787329
52	0.6155672573	0.6681830493
53	0.6158346232	0.6680464552
54	0.61604087	0.6678707538
55	0.6160468472	0.6678113002
56	0.6160342045	0.6677501845
57	0.6160300332	0.6676329013
58	0.6162386975	0.6675280513
59	0.6166277292	0.6674049381
60	0.6169431106	0.6673313178
61	0.6169864105	0.6672379541
62	0.6170106659	0.6671796262
63	0.6170127772	0.6671435926
64	0.6171003323	0.6670643677
65	0.6171701952	0.6669724167
66	0.6173180015	0.6669034301
67	0.617309065	0.6668843936
68	0.6173257747	0.6668310252
69	0.6173154099	0.6667943216
70	0.6174448405	0.6667387077
71	0.6174645832	0.6667122932
72	0.6175188878	0.6666279059
73	0.617516815	0.6665964871
74	0.6175343492	0.6665342323
75	0.6175215114	0.666472502
76	0.6175110535	0.6664183469
77	0.6175623406	0.666380852
78	0.6175805439	0.6663500237
79	0.617634507	0.6662870822
80	0.6176279813	0.6662643692
81	0.6176601753	0.6662264361
82	0.6176630091	0.666135809
83	0.6176593511	0.666083544
84	0.6177211842	0.6660522163
85	0.6177708049	0.6659980835
86	0.6178663868	0.6659364808
87	0.6179024716	0.6658871555
88	0.6179873796	0.665834106
89	0.6180905856	0.6657817083
90	0.6181120829	0.665747647
91	0.618093252	0.6657151823
92	0.6181266749	0.6657011372
93	0.6181395999	0.6656730961
94	0.6181594079	0.6656142966
95	0.6181860634	0.6655636275
96	0.6181944432	0.6655476502
97	0.618251662	0.665509377
98	0.6183375972	0.6654521534
99	0.6183583094	0.6654356139
100	0.6187089097	0.6653548874
101	0.6187042168	0.6653263971
102	0.6190490509	0.6652303984
103	0.6190696017	0.6652044533
104	0.6191462274	0.6651462701
105	0.6191680954	0.6651090927
106	0.619236496	0.6650780254
107	0.6193846735	0.6649930928
108	0.6195943936	0.664915006
109	0.6196345893	0.6648933664
110	0.6196698124	0.664865554
111	0.6197029809	0.6648391067
112	0.6196942462	0.6648177288
113	0.6196853491	0.6648010226
114	0.6196672791	0.6647940383
115	0.6197181869	0.6647768001
116	0.6197161828	0.6647661388
117	0.6198726911	0.6647159382
118	0.6199287832	0.664676764
119	0.6199715489	0.6646582242
120	0.6199657551	0.664621736
121	0.6199742697	0.664606917
122	0.6199928093	0.6645817213
123	0.6200360239	0.6645549079
124	0.6200591396	0.6645159319
125	0.6201223799	0.664486067
126	0.6201231693	0.6644681409
127	0.6201612046	0.6644250642
128	0.6201586195	0.664418877
129	0.6201594159	0.6643958486
130	0.6201956253	0.6643737803
131	0.6202098272	0.6643415226
132	0.6202205784	0.6643194231
133	0.6202247284	0.6642980678
134	0.6204494983	0.664235101
135	0.620471465	0.6642287981
136	0.6205117937	0.6642084227
137	0.6205547209	0.6641864588
138	0.620628715	0.6641617184
139	0.6207230941	0.6641248125
140	0.6207463563	0.6641013128
141	0.6207537276	0.6640965169
142	0.6207800171	0.6640554967
143	0.6207916306	0.6640450476
144	0.6208160475	0.6640225026
145	0.620876543	0.6639844448
146	0.6208797785	0.6639650323
147	0.6208858769	0.6639469668
148	0.6208808254	0.6639441236
149	0.620886854	0.6639348295
150	0.6210337502	0.6638475356
151	0.6212566237	0.6637747024
152	0.6212655398	0.6637680479
153	0.6213530148	0.6637415775
154	0.621356312	0.6637193935
155	0.6213631264	0.6637003794
156	0.6213867719	0.66368834
157	0.6214563883	0.6636645857
158	0.6214560636	0.663664131
159	0.6214829791	0.6636547577
160	0.6214885343	0.6636529681
161	0.6216777605	0.6635841552
162	0.6216773385	0.6635453752
163	0.6216806182	0.6635436353
164	0.6217419472	0.6634989223
165	0.6217513097	0.6634932602
166	0.6217618276	0.6634896349
167	0.6218351266	0.6634579059
168	0.6218577884	0.6634461624
169	0.6219446966	0.6634072395
170	0.6219446966	0.6634072395
171	0.6219591128	0.6633959992
172	0.6219686519	0.6633785952
173	0.6220713457	0.6633372377
174	0.6221057613	0.6632976158
175	0.622100629	0.6632903161
176	0.622100629	0.6632903161
177	0.6220996653	0.6632767169
178	0.6221017291	0.6632750592
179	0.6221130747	0.6632645754
180	0.6221574933	0.6632279458
181	0.6221679828	0.6632120753
182	0.6221684914	0.6632024313
183	0.6222626695	0.6631721191
184	0.6222721561	0.6631523226
185	0.6223038557	0.6631315672
186	0.6223807843	0.6631012989
187	0.6224586558	0.6630649226
188	0.6224753772	0.6630519572
189	0.6224796445	0.6630328033
190	0.6224805188	0.6630013164
191	0.6224736308	0.6629910681
192	0.6224736308	0.662991068
193	0.6225080444	0.6629753942
194	0.6225708692	0.6629432441
195	0.6225720712	0.6629350471
196	0.622595364	0.6629238438
197	0.6226439443	0.6628857681
198	0.6226451964	0.662885441
199	0.6226473551	0.6628713311
200	0.6227307893	0.6628467235
201	0.6227176143	0.6628385261
202	0.6227717518	0.6628036557
203	0.6228105723	0.6627767068
