iter	F1	Logloss
0	0.564568758	0.688935577
1	0.5695186277	0.685697573
2	0.5693959794	0.6835439954
3	0.5724146434	0.6816426687
4	0.5781384578	0.6798328244
5	0.5779803582	0.6785931555
6	0.5779330078	0.6774142276
7	0.5799014174	0.6764821443
8	0.5792719546	0.6758958544
9	0.5819024567	0.6752586647
10	0.5800118705	0.6746426844
11	0.5777743626	0.6742192214
12	0.5792656198	0.6737743771
13	0.5802007871	0.6732933014
14	0.5811239974	0.6729185382
15	0.5822001013	0.6726027736
16	0.5838718033	0.6723442353
17	0.5829876573	0.6719970411
18	0.5830185461	0.6717808797
19	0.5824829449	0.6716453744
20	0.5815091268	0.6711954569
21	0.5815456737	0.6710945254
22	0.581674303	0.6708561518
23	0.5819391021	0.6705034692
24	0.5816886099	0.6704023223
25	0.5820030773	0.6701516127
26	0.5820577306	0.6699945089
27	0.5828345982	0.6698026813
28	0.5840628145	0.669680773
29	0.5842320342	0.6695830593
30	0.583915721	0.6694827412
31	0.5848512833	0.669376641
32	0.5851421308	0.6692060483
33	0.5861611	0.6690397278
34	0.5860933293	0.6689621757
35	0.586388993	0.6689086536
36	0.5866739079	0.6688274713
37	0.5869174382	0.6687332719
38	0.5862478147	0.6685529898
39	0.5865236157	0.6684575029
40	0.5872421394	0.6683749065
41	0.5869433472	0.668233982
42	0.5871793665	0.6682117319
43	0.5872517829	0.6681542824
44	0.5875709991	0.6680787462
45	0.587246578	0.6680249963
46	0.5871586365	0.6678466764
47	0.5874239356	0.6677445371
48	0.5873118364	0.6676214953
49	0.587096611	0.6675840084
50	0.5872654254	0.6675412554
51	0.5872211385	0.6674974136
52	0.587277694	0.6674363125
53	0.5877755807	0.6673323126
54	0.5879600501	0.6672885336
55	0.5882978639	0.667240796
56	0.5885956342	0.6672066098
57	0.5886470449	0.6671611272
58	0.5890520124	0.6670558728
59	0.5898572769	0.666990812
60	0.5898529818	0.666990812
61	0.5896108016	0.6668282031
62	0.5896256817	0.6667471452
63	0.5908437293	0.666538074
64	0.5918373321	0.6664182745
65	0.5920222431	0.6663567288
66	0.5918290938	0.6663126327
67	0.5918505916	0.666305784
68	0.5922447938	0.6662022277
69	0.592502411	0.6661822446
70	0.5926086712	0.6661261936
71	0.5944004214	0.6660392806
72	0.594477535	0.666000345
73	0.5947450446	0.6659746589
74	0.5948648252	0.6659276306
75	0.5948813944	0.6658751379
76	0.5952762921	0.6658595928
77	0.5955165878	0.6658149474
78	0.5953856571	0.6657425285
79	0.5954966572	0.6657252679
80	0.5954983155	0.6656647897
81	0.5953188149	0.6656002797
82	0.5953705637	0.66554833
83	0.5958104014	0.6654874036
84	0.595220937	0.6653992993
85	0.5950902265	0.6653522884
86	0.5952155697	0.6653154921
87	0.5959868861	0.6652520922
88	0.5965511736	0.6652088062
89	0.5966783591	0.6651340812
90	0.5965710306	0.665132239
91	0.5963481705	0.6650444424
92	0.5960689469	0.6649787331
93	0.5960105009	0.6649361451
94	0.5958846522	0.6649096917
95	0.5961302836	0.6648669519
96	0.5963512399	0.664844225
97	0.5966097389	0.6647494879
98	0.5965389633	0.6647176054
99	0.597091286	0.66467318
100	0.5967469506	0.6646091646
101	0.5968193984	0.6645888352
102	0.5965695062	0.6645308447
103	0.596433644	0.6644559298
104	0.5967034613	0.6643914119
105	0.5968123	0.6642926776
106	0.5973837622	0.6642072292
107	0.5976515855	0.6641117739
108	0.5973523216	0.6640413248
109	0.5971290339	0.6639349425
110	0.5973993981	0.6638864726
111	0.597570028	0.6637986108
112	0.5979759284	0.663649175
113	0.598116253	0.6635682286
114	0.5983197154	0.6634867895
115	0.598553333	0.6634303109
116	0.5985226584	0.6633685953
117	0.5983919201	0.663240011
118	0.5985634037	0.6631391571
119	0.5982676016	0.6630277531
120	0.5988160922	0.6629384494
121	0.5984775341	0.6628521221
122	0.5998636177	0.6627127157
123	0.5992602573	0.6625931846
124	0.5999907763	0.6625227962
125	0.6002744899	0.6624595723
126	0.6004195248	0.6623799292
127	0.6005319205	0.66232047
128	0.6006813969	0.6622578552
129	0.6006531618	0.6621545981
130	0.6009522789	0.6620549899
131	0.6009105636	0.6620222401
132	0.6007960153	0.6619815673
133	0.6009324328	0.6619044238
134	0.6010732715	0.661841436
135	0.6008058179	0.6617740078
136	0.6010883902	0.6617045893
137	0.601552306	0.6616044565
138	0.6018163246	0.6615117317
139	0.6018533878	0.6614369868
140	0.6020125872	0.6613718708
141	0.6019733523	0.6613015299
142	0.6023852774	0.6611981239
143	0.6022839487	0.6611360541
144	0.602363463	0.6610763631
145	0.602475729	0.661006049
146	0.6028241805	0.6609254076
147	0.6027273549	0.6608848804
148	0.6032014405	0.6607854716
149	0.6027977709	0.6607303202
150	0.6032860465	0.6606540789
151	0.6033503704	0.6605768565
152	0.6034988544	0.6604914969
153	0.6038609468	0.6604332805
154	0.604657122	0.6603522866
155	0.6050030713	0.660287409
156	0.6052150666	0.6602220703
157	0.6054398973	0.6601607429
158	0.6052579825	0.660073582
159	0.6053817924	0.6600074735
160	0.6052596312	0.6599460987
161	0.6054665139	0.659871182
162	0.6056607957	0.65980991
163	0.6057861153	0.659743371
164	0.6059120466	0.6596533472
165	0.6062394493	0.659587843
166	0.6064200037	0.6595318093
167	0.6063113156	0.6594617636
168	0.6066129892	0.6593875139
169	0.6067307585	0.6593282097
170	0.6069236466	0.6592704719
171	0.6070413478	0.659195525
172	0.6067053698	0.6590974318
173	0.6069088733	0.6590433166
174	0.606882994	0.6590007943
175	0.6073496639	0.6589194312
176	0.6071188874	0.6588464048
177	0.6077319842	0.6587864494
178	0.6076488423	0.6587455885
179	0.6077816745	0.6586346953
180	0.6080324034	0.6585730256
181	0.6082291028	0.6585241908
182	0.6082395621	0.6584620639
183	0.6081811804	0.6584127022
184	0.6084203286	0.6583678778
185	0.6088652129	0.6583068649
186	0.6090787347	0.6582119119
187	0.6094296001	0.6581521784
188	0.6095601681	0.6580873597
189	0.609307436	0.6580145679
190	0.609231167	0.6579512154
191	0.6092717491	0.6578867909
192	0.609481445	0.6578342353
193	0.609232602	0.6577374661
194	0.6091941932	0.6576711625
195	0.6091208413	0.6575830861
196	0.6091565753	0.6575573052
197	0.6087315848	0.6574890906
198	0.6089814741	0.6574243604
199	0.6089506981	0.6573630759
200	0.6091906303	0.6573032127
201	0.6091108877	0.6572608544
202	0.6092823456	0.6571996478
203	0.6095867824	0.6571316129
204	0.6096459966	0.6570815991
205	0.6097989373	0.657017608
206	0.6097510523	0.6569574215
207	0.6100535617	0.6568882103
208	0.609473659	0.6568395967
209	0.6091782157	0.6568092511
210	0.6093991084	0.6567404881
211	0.6098002454	0.6566736366
212	0.6106403241	0.6566029915
213	0.6108566922	0.6565555582
214	0.6107713259	0.6565005927
215	0.6108537712	0.6564401331
216	0.6106870047	0.6563940807
217	0.6107039683	0.6563290032
218	0.6112934642	0.6562781961
219	0.6117060406	0.6562113451
220	0.6114767459	0.6561287297
221	0.61139102	0.6560784555
222	0.6112538064	0.6560161342
223	0.6111870878	0.655950133
224	0.61138913	0.6559170824
225	0.6113663881	0.6558775102
226	0.6114435927	0.6557979599
227	0.6113319397	0.6557491665
228	0.6115665834	0.6556506531
229	0.6116329148	0.655612231
230	0.611861066	0.6555631382
231	0.6121660667	0.6554991054
232	0.6122766223	0.6554531662
233	0.6127461929	0.6553799316
234	0.612724058	0.6553190715
235	0.6127251647	0.6552903455
236	0.6125365983	0.6552449121
237	0.6130544091	0.6552088885
238	0.613135244	0.6551552224
239	0.6128117878	0.6550984528
240	0.6129406603	0.6550492977
241	0.6129940233	0.654989575
242	0.6133957684	0.6549386061
243	0.613347791	0.6549144794
244	0.6133055123	0.65487004
245	0.6133250072	0.6548181499
246	0.6131812364	0.654770801
247	0.6131195874	0.6547173686
248	0.6134449997	0.6546511074
249	0.6136385832	0.6546020785
250	0.6136764088	0.654564955
251	0.6137152098	0.654505126
252	0.6139799598	0.6544640769
253	0.6138897912	0.6544447224
254	0.6141233501	0.6544036574
255	0.6142464121	0.6543350945
256	0.6142096998	0.6542822751
257	0.6139482318	0.6542494761
258	0.6142698054	0.6541991996
259	0.6141410012	0.6541514615
260	0.6144332805	0.6540956342
261	0.6145601011	0.6540246652
262	0.6147657732	0.653965782
263	0.6145021767	0.6539175112
264	0.6145123031	0.6538794224
265	0.6145134131	0.6538689589
266	0.6146029181	0.6538140351
267	0.6147186843	0.6537698204
268	0.6148532685	0.6537014051
269	0.6147107019	0.6536437639
270	0.6145736596	0.653593202
271	0.6149130724	0.6535329334
272	0.6148930568	0.6534852678
273	0.6151479076	0.6534142596
274	0.6154682762	0.6533525586
275	0.615581714	0.6532959811
276	0.615452713	0.6532426837
277	0.6155605765	0.653208225
278	0.6153604077	0.6531646488
279	0.6155005473	0.6531225844
280	0.6154927718	0.6530707678
281	0.616266456	0.652998805
282	0.6164776146	0.6529298452
283	0.6165052707	0.6528683981
284	0.616454138	0.6528266705
285	0.6161108065	0.6527765905
286	0.6159184397	0.6527228351
287	0.6163138651	0.652687545
288	0.6162384056	0.6526589574
289	0.6163105261	0.6526109775
290	0.6163271423	0.6525552675
291	0.6169380851	0.6524855865
292	0.6167815255	0.6524192994
293	0.6170212345	0.6523487053
294	0.6172645122	0.6522913493
295	0.6174014463	0.6522507578
296	0.6177631271	0.6521912539
297	0.6178586429	0.652146874
298	0.6180260255	0.6520878094
299	0.6176445669	0.6520491373
300	0.6177919259	0.6520096955
301	0.6178062251	0.6519404653
302	0.6173172119	0.651884292
303	0.6175270909	0.6518344684
304	0.6169651476	0.6517847909
305	0.6170872597	0.6517480906
306	0.6170597998	0.6516889352
307	0.6170065405	0.6516651252
308	0.6172293192	0.6515878161
309	0.6174192934	0.6515499854
310	0.6174805428	0.6515172751
311	0.6177454316	0.6514591155
312	0.6178799731	0.6514020045
313	0.6178323496	0.6513545152
314	0.6181054607	0.6512851376
315	0.618021895	0.6512361217
316	0.617628002	0.6511674858
317	0.6179166272	0.6511205693
318	0.6182987273	0.6510591476
319	0.6187729354	0.6510023235
320	0.6186560896	0.6509556197
321	0.6188039647	0.6509104985
322	0.6189029205	0.6508662793
323	0.6187298791	0.6508058862
324	0.6187195169	0.6507589507
325	0.6189488235	0.6506795482
326	0.6191898427	0.6506421105
327	0.6194738128	0.6505939057
328	0.6194715739	0.6505340818
329	0.619714716	0.6504814358
330	0.6196179155	0.6504364695
331	0.6196638358	0.6503734647
332	0.6194033528	0.6503279037
333	0.6197594639	0.6502853667
334	0.6196466867	0.6502315089
335	0.6197056962	0.6501786854
336	0.6200724478	0.6501039461
337	0.6200063625	0.6500541627
338	0.6203114172	0.6499990864
339	0.6202502454	0.6499625773
340	0.6206968612	0.6498963615
341	0.6206815901	0.6498522336
342	0.6209371893	0.6497898674
343	0.6211350781	0.6497507917
344	0.6210220063	0.6497060764
345	0.6207769492	0.6496634539
346	0.620716547	0.649603979
347	0.6210128246	0.6495587858
348	0.6211831613	0.6495126053
349	0.6210666981	0.6494710788
350	0.6213913476	0.649406132
351	0.6216663514	0.6493626519
352	0.6214532437	0.6493137542
353	0.6214413856	0.6492706113
354	0.6215820097	0.6492320991
355	0.621659	0.649182072
356	0.6215138845	0.6491081878
357	0.6217299534	0.6490568991
358	0.6216117178	0.6490194694
359	0.6221228381	0.6489774361
360	0.6222380855	0.6489437949
361	0.6222864184	0.6489182077
362	0.6222172878	0.6488819236
363	0.6224134261	0.6488425356
364	0.6224814314	0.6488007449
365	0.6224449289	0.6487410202
366	0.6225107003	0.6486885036
367	0.6225523141	0.6486562427
368	0.622540445	0.6485884028
369	0.6227657165	0.6485419077
370	0.6227505707	0.6484997591
371	0.6230785225	0.6484466486
372	0.6231391414	0.6484085829
373	0.6230661482	0.6483283075
374	0.6234229946	0.6482646538
375	0.6232058676	0.6482242554
376	0.6232031279	0.6481731544
377	0.6232436325	0.6481315082
378	0.6236370838	0.6481061736
379	0.6234521496	0.648087178
380	0.6235942695	0.6480520526
381	0.6237395334	0.6480162321
382	0.6237974079	0.6479842942
383	0.6240203334	0.6479347148
384	0.6238875108	0.6478988148
385	0.6239116011	0.6478374203
386	0.6236318553	0.6477863839
387	0.623771772	0.6477056933
388	0.6240217361	0.6476359012
389	0.6239005937	0.6475833299
390	0.6240039834	0.6475455593
391	0.6241987793	0.647483587
392	0.6243179441	0.6474426342
393	0.6241779689	0.6473848185
394	0.6242370033	0.6473541869
395	0.6241401123	0.6472906111
396	0.6241680089	0.6472480453
397	0.6242703332	0.647196277
398	0.6243030446	0.6471303244
399	0.6242796744	0.6470839724
400	0.6244704712	0.6470384122
401	0.6245697941	0.646985475
402	0.6244971633	0.6469491984
403	0.6245791869	0.6469059995
404	0.6247010849	0.646848396
405	0.6246920549	0.6468081783
406	0.6247676888	0.6467579684
407	0.6248381018	0.6467011062
408	0.625350442	0.646647358
409	0.6253643208	0.6465722127
410	0.6255345563	0.6465348111
411	0.6253965931	0.6464861143
412	0.625606353	0.6464322108
413	0.6254579219	0.6463979201
414	0.6256702324	0.6463468754
415	0.6255368163	0.6463170243
416	0.6257021694	0.6462820085
417	0.6255744105	0.6462501233
418	0.6259293428	0.6462054681
419	0.6262205763	0.6461521533
420	0.6260689189	0.6461130051
421	0.6264160531	0.6460689291
422	0.6264522472	0.6460372294
423	0.6268015473	0.6459891342
424	0.6265192189	0.6459419894
425	0.6262320117	0.6458910789
426	0.6267392651	0.6458250056
427	0.6266570957	0.6457726296
428	0.6266294827	0.6457375854
429	0.6263028437	0.6456905999
430	0.6269694083	0.645634225
431	0.6268005217	0.6455949897
432	0.6271359585	0.6455342704
433	0.6270880038	0.6454939824
434	0.6270117135	0.6454592315
435	0.6269988699	0.6454249191
436	0.6272664668	0.6453699066
437	0.627907543	0.6453341545
438	0.6276811144	0.6452771061
439	0.627839255	0.6452577393
440	0.6276319424	0.6452006237
441	0.6275430657	0.6451488542
442	0.6275623426	0.6451020225
443	0.6274642233	0.6450683898
444	0.6277332764	0.6449877769
445	0.6278791908	0.6449439816
446	0.6280376166	0.6449071022
447	0.6283549842	0.6448640588
448	0.6284663799	0.6448236693
449	0.6283516645	0.6447712113
450	0.6282730629	0.6447438272
451	0.6281797825	0.6447127858
452	0.6282559598	0.6446807879
453	0.6283241061	0.6446459218
454	0.6282762877	0.6446016874
455	0.6285423235	0.6445544234
456	0.6288458805	0.6444985126
457	0.6292173942	0.6444499895
458	0.628958398	0.6444218261
459	0.6288049788	0.644378052
460	0.6286922551	0.644339849
461	0.629017331	0.6442877956
462	0.6290888974	0.6442566536
463	0.6289875818	0.6442100137
464	0.628930751	0.6441571868
465	0.6289841739	0.6441411514
466	0.6288737546	0.6440605308
467	0.6291489714	0.6440249465
468	0.6289818025	0.6439900281
469	0.6291387026	0.643955262
470	0.6291716998	0.6439059605
471	0.6293581514	0.6438630576
472	0.6296343026	0.6438100788
473	0.6300329668	0.6437695424
474	0.6298581478	0.6437310363
475	0.6300217426	0.6437001617
476	0.6301978329	0.6436557911
477	0.6302819607	0.6436270227
478	0.6301468196	0.6435825563
479	0.6300763946	0.6435237884
480	0.6298185152	0.6435145801
481	0.6301013688	0.6434678519
482	0.6302786164	0.6434382217
483	0.6307020173	0.6434125842
484	0.6307360628	0.6433754539
485	0.6309925513	0.6433288153
486	0.6310096313	0.6432836286
487	0.6313258142	0.6432364407
488	0.6311147355	0.6431681228
489	0.6310922326	0.6431165668
490	0.6312750139	0.6430685769
491	0.6313444966	0.6430337899
492	0.6314999405	0.6429856649
493	0.6315702478	0.6429491928
494	0.6316758762	0.6429018281
495	0.631576008	0.6428387101
496	0.6318850924	0.6427838604
497	0.6317003046	0.6427640994
498	0.6315416813	0.642706309
499	0.631926559	0.6426585323
500	0.6321731611	0.6426169495
501	0.6320112119	0.6425808884
502	0.6316422408	0.6425151736
503	0.6321030391	0.6424768003
504	0.6319497831	0.6424406979
505	0.6320861296	0.6424006355
506	0.632119235	0.6423556316
507	0.6320874835	0.6422848666
508	0.632351488	0.642227464
509	0.6321313614	0.6421961983
510	0.6322482813	0.6421775605
511	0.6322781974	0.6421534965
512	0.6321434845	0.642123564
513	0.6321845759	0.6420798945
514	0.6324532966	0.6420329173
515	0.6323715705	0.6419943428
516	0.6324338874	0.6419504889
517	0.6326279	0.6419290005
518	0.632832159	0.6418563687
519	0.6326295521	0.6418067036
520	0.6327658383	0.6417615442
521	0.6328115353	0.6417147797
522	0.6327618001	0.6416811594
523	0.6330215386	0.6416610851
524	0.6331186608	0.6416183821
525	0.6329569667	0.6415648328
526	0.6329358137	0.6415102912
527	0.6330798276	0.6414628346
528	0.6330958304	0.6414304051
529	0.6333963655	0.6413750801
530	0.6338132485	0.6413447724
531	0.6336646496	0.6413210891
532	0.6337298627	0.6412786849
533	0.6335331186	0.6412392367
534	0.6335877103	0.6412062267
535	0.6336709127	0.6411690505
536	0.633564999	0.6411198783
537	0.633902685	0.6410781139
538	0.6340454975	0.6410294132
539	0.6339889786	0.6409883319
540	0.634098945	0.6409315378
541	0.6337922469	0.6408860659
542	0.633693676	0.6408404854
543	0.6335519217	0.6407976934
544	0.6336860014	0.6407654197
545	0.633640881	0.6407247653
546	0.6340179188	0.6406882246
547	0.6342875548	0.6406473436
548	0.6343623942	0.6406090147
549	0.6341596239	0.6405632104
550	0.6340774866	0.6405322401
551	0.6341206507	0.6405088787
552	0.6342176729	0.6404491785
553	0.6343666167	0.6404087398
554	0.6343414064	0.6403583188
555	0.634388748	0.6403145138
556	0.6345425912	0.6402773178
557	0.6346212605	0.6402358197
558	0.6346735717	0.6401908109
559	0.6347896603	0.6401538148
560	0.6347274508	0.6401286459
561	0.6346851416	0.6400767572
562	0.6345030161	0.6400317872
563	0.6347291359	0.6399880987
564	0.6352226349	0.6399543597
565	0.6355247422	0.639908667
566	0.6354261551	0.6398622877
567	0.6354261551	0.6398169385
568	0.6353864635	0.6397654566
569	0.6357023149	0.6397158757
570	0.6355537435	0.639664762
571	0.6356439483	0.6396279289
572	0.6356242663	0.6395823897
573	0.6357531855	0.6395423528
574	0.6356662594	0.6394870114
575	0.6357917272	0.6394673718
576	0.6357231808	0.6394307643
577	0.6359199783	0.6393808251
578	0.6358905065	0.639330654
579	0.6358478756	0.6392774047
580	0.6358300038	0.6392492402
581	0.6359197427	0.6392231799
582	0.6360504212	0.6391745177
583	0.635968743	0.6391386714
584	0.6360200254	0.639106907
585	0.6358986691	0.6390632174
586	0.6362932485	0.6390229975
587	0.6366122909	0.6389745104
588	0.6368559534	0.6389205216
589	0.6368393227	0.6388707683
590	0.6370743377	0.6388331858
591	0.6372306136	0.6387877536
592	0.637221497	0.638734377
593	0.6371410497	0.6386891149
594	0.6370284486	0.6386443035
595	0.6373554979	0.6385863782
596	0.6372985857	0.638541565
597	0.6372814205	0.6384962434
598	0.6376272638	0.6384525892
599	0.6376823677	0.6384183617
600	0.6376820286	0.6383678073
601	0.6379312092	0.6383193504
602	0.6379618301	0.6382748444
603	0.6378320593	0.6382387179
604	0.6382968837	0.6381961477
605	0.6381998756	0.6381590663
606	0.6382544935	0.6381215431
607	0.6382171614	0.6380817292
608	0.6384084182	0.6380455784
609	0.6382918242	0.6380015883
610	0.6384273006	0.6379703535
611	0.6385215419	0.6379317309
612	0.6385180835	0.6378993465
613	0.6388631425	0.6378559558
614	0.638966591	0.6378054
615	0.6391169645	0.637767297
616	0.6390777537	0.6377132447
617	0.6390108468	0.6376649219
618	0.6390458366	0.6376358031
619	0.6391158112	0.637633664
620	0.639199241	0.637596843
621	0.6394848435	0.6375708413
