iter	Passed	Remaining
0	102	102307
1	210	104850
2	331	110089
3	439	109517
4	549	109446
5	681	112867
6	830	117817
7	964	119645
8	1091	120211
9	1214	120273
10	1341	120575
11	1493	122996
12	1638	124421
13	1772	124802
14	2138	140430
15	2256	138774
16	2377	137482
17	2493	136021
18	2602	134373
19	2717	133149
20	2806	130848
21	2912	129477
22	3014	128035
23	3129	127261
24	3277	127839
25	3415	127940
26	3547	127825
27	3692	128195
28	3806	127451
29	3913	126526
30	4021	125716
31	4129	124921
32	4258	124780
33	4380	124446
34	4496	123974
35	4614	123572
36	4742	123440
37	4850	122802
38	4955	122097
39	5059	121427
40	5171	120962
41	5284	120530
42	5408	120376
43	5534	120240
44	5669	120326
45	5801	120326
46	5939	120437
47	6043	119853
48	6181	119964
49	6317	120028
50	6464	120284
51	6575	119882
52	6718	120051
53	6863	120230
54	6989	120085
55	7124	120103
56	7258	120078
57	7375	119792
58	7517	119897
59	7657	119969
60	7787	119868
61	7924	119891
62	8055	119815
63	8184	119695
64	8298	119367
65	8425	119237
66	8569	119329
67	8699	119232
68	8840	119281
69	8950	118911
70	9055	118492
71	9167	118156
