iter	PRAUC:type=Classic	Logloss
0	0.6022569672	0.688440031
1	0.6096160278	0.6843328653
2	0.6101529811	0.6815039623
3	0.6097042663	0.6791214569
4	0.6096902768	0.6769554849
5	0.6100954257	0.6752097586
6	0.611165786	0.6737127965
7	0.6111846285	0.6725161405
8	0.610959399	0.6716258112
9	0.6123253686	0.6707595945
10	0.6135102107	0.6700056312
11	0.6138596427	0.6694110329
12	0.613936047	0.6689476903
13	0.6144021874	0.6684243855
14	0.6150710348	0.6679616578
15	0.6169395105	0.6674476263
16	0.6170488477	0.6671463322
17	0.6176498625	0.6668261697
18	0.6178920369	0.6665397921
19	0.6179384598	0.6662814191
20	0.6181762026	0.6660170255
21	0.6185033164	0.6657075463
22	0.618726664	0.6654407468
23	0.618811104	0.6652613324
24	0.6190723368	0.6650447664
25	0.6191987918	0.6648208952
26	0.6191706764	0.6647106476
27	0.6194592074	0.6646837553
28	0.6194944126	0.6645890775
29	0.6197053839	0.6643997102
30	0.6199896962	0.6642396791
31	0.6201218244	0.664143917
32	0.6203601773	0.6640235205
33	0.6207955479	0.663817407
34	0.6208806136	0.6636958717
35	0.6211488496	0.6635439037
36	0.6212781002	0.6634277073
37	0.6216692941	0.6632598381
38	0.6217712546	0.6631572046
39	0.6225050827	0.6629071577
40	0.6230267776	0.6626674317
41	0.62303525	0.6626646873
42	0.6230757964	0.6626098715
43	0.6231552632	0.6625539684
44	0.623256434	0.6624895223
45	0.6233881941	0.6624191413
46	0.6236524312	0.6623079535
47	0.6238711046	0.6622107708
48	0.6238847374	0.6621840957
49	0.6240175594	0.6621262499
50	0.6241317893	0.6620821284
51	0.624146407	0.6620354135
52	0.6242200115	0.6619924089
53	0.6243903801	0.6619454255
54	0.624478663	0.6618822617
55	0.6245021105	0.6618338452
56	0.6245567137	0.661773733
57	0.6246270683	0.661708804
58	0.6246670034	0.6616906357
59	0.6247332985	0.6616208807
60	0.6248139676	0.6615796016
61	0.6248376337	0.6615672291
62	0.6249592882	0.661465639
63	0.625233577	0.6613991956
64	0.6253413711	0.6613676238
65	0.6254766053	0.6613284118
66	0.62556978	0.661291506
67	0.6257238225	0.6612408351
68	0.6258960483	0.6611548334
69	0.6260103203	0.6611062648
70	0.6260326265	0.6610552632
71	0.6261297943	0.6610193203
72	0.6261428141	0.6610072445
73	0.6263632744	0.660909399
74	0.6263618883	0.660899456
75	0.6264324457	0.6608791386
76	0.6265361835	0.6608012909
77	0.626672587	0.6607358676
78	0.6270019783	0.6606615697
79	0.6270517761	0.6606384054
80	0.6270780969	0.6605990337
81	0.6271152125	0.6605846019
82	0.6272408934	0.6605180917
83	0.6273408024	0.6604699876
84	0.6273411706	0.6604681101
85	0.6274629298	0.6604134158
86	0.6275523333	0.660387795
87	0.6275554131	0.6603832388
88	0.6276327916	0.6603387265
89	0.6277264491	0.6602913753
90	0.6279217265	0.6601964186
91	0.6280291667	0.6601436179
92	0.6280704838	0.6601220629
93	0.6283840766	0.6600262129
94	0.6284878667	0.6599708597
95	0.6286304307	0.6599099842
96	0.6289280336	0.6597683668
97	0.6289528335	0.6597299901
98	0.6291711983	0.659628229
99	0.6292815872	0.6595849871
100	0.6294204193	0.6594862812
101	0.6294767169	0.6594421978
102	0.6296346758	0.6593465773
103	0.6298616048	0.6592337109
104	0.6298959107	0.6591715881
105	0.6300607655	0.6591100131
106	0.6301042086	0.6590834914
107	0.630268501	0.6590309081
108	0.6304022426	0.6589985
109	0.630744974	0.6588433965
110	0.6310172317	0.6587266661
111	0.6311340832	0.6586204181
112	0.631286006	0.6584821626
113	0.6313644458	0.6584352045
114	0.631732799	0.6583060707
115	0.6317703008	0.6582686592
116	0.631860631	0.6581726875
117	0.6320716736	0.6581170227
118	0.6322752394	0.6580126497
119	0.6324108698	0.6579348575
120	0.6325552681	0.6578716809
121	0.632591728	0.6578263941
122	0.6327356931	0.6577607229
123	0.6328500999	0.6576863039
124	0.633004458	0.6576226129
125	0.6331552408	0.6575706356
126	0.6332850086	0.6575053329
127	0.6333401411	0.6574388594
128	0.6335705401	0.6573191245
129	0.6338893078	0.6572111017
130	0.6339941429	0.6571436662
131	0.6340913869	0.6570409789
132	0.6341424664	0.6570181434
133	0.6342846143	0.6569333373
134	0.6343551027	0.656850057
135	0.6344439686	0.6568030509
136	0.6345709879	0.6567254526
137	0.6346670772	0.6566500723
138	0.6347163712	0.6565680793
139	0.6348807952	0.6564973719
140	0.6350111798	0.656450418
141	0.6351149056	0.6564097955
142	0.6351673558	0.6563356483
143	0.6353323538	0.6562570095
144	0.6355194044	0.6561789887
145	0.6356912402	0.6561129189
146	0.6358374838	0.6560570983
147	0.6358877163	0.6559988504
148	0.6360015055	0.6559452263
149	0.6361801898	0.6558835865
150	0.6365183877	0.6558115923
151	0.6365675018	0.6557488789
152	0.6366136208	0.655659687
153	0.6369168947	0.6555816987
154	0.6370333513	0.6555264655
155	0.6371222281	0.655472053
156	0.6371929183	0.6554184133
157	0.6373182688	0.6553438719
158	0.6375202395	0.6552905506
159	0.6375357373	0.6552401636
160	0.6376139408	0.6551854979
161	0.6377390416	0.6551185755
162	0.6379962871	0.6550555408
