iter	Passed	Remaining
0	41	41832
1	88	44410
2	136	45416
3	180	45027
4	225	44966
5	271	44907
6	316	44938
7	370	45891
8	420	46302
9	473	46853
10	519	46733
11	570	46948
12	618	46940
13	664	46765
14	732	48069
15	778	47896
16	828	47881
17	876	47802
18	930	48063
19	977	47885
20	1025	47800
21	1071	47630
22	1120	47581
23	1180	48023
24	1232	48078
25	1283	48080
26	1334	48083
27	1384	48058
28	1440	48223
29	1505	48684
30	1557	48673
31	1606	48588
32	1655	48503
33	1704	48425
34	1758	48480
35	1806	48387
36	1865	48542
37	1916	48516
38	1964	48407
39	2017	48425
40	2070	48421
41	2120	48367
42	2181	48546
43	2231	48477
44	2281	48410
45	2329	48305
46	2379	48239
47	2428	48169
48	2479	48120
49	2529	48060
50	2582	48049
51	2636	48063
52	2698	48213
53	2749	48171
54	2801	48129
55	2861	48237
56	2910	48154
57	2960	48078
58	3012	48046
59	3060	47949
60	3119	48026
61	3177	48078
62	3227	48008
63	3278	47944
64	3335	47978
65	3386	47927
66	3435	47844
67	3486	47779
68	3535	47702
69	3588	47681
70	3637	47600
71	3693	47608
72	3755	47693
73	3810	47678
74	3861	47620
75	3918	47635
76	3972	47620
77	4025	47584
78	4086	47643
79	4137	47585
80	4187	47507
81	4253	47614
82	4307	47593
83	4358	47532
84	4412	47499
85	4474	47556
86	4528	47519
87	4584	47508
88	4639	47494
89	4706	47590
90	4754	47494
91	4813	47509
92	4865	47456
93	4915	47377
94	4969	47344
95	5032	47392
96	5110	47576
97	5173	47618
98	5244	47731
99	5297	47673
100	5368	47782
101	5423	47747
102	5479	47723
103	5539	47721
104	5610	47822
105	5672	47841
106	5750	47989
107	5810	47993
108	5861	47915
109	5922	47921
110	5988	47964
111	6068	48110
112	6138	48186
113	6213	48290
114	6273	48282
115	6326	48209
116	6392	48245
117	6453	48234
118	6511	48210
119	6567	48161
120	6634	48197
121	6700	48220
122	6765	48237
123	6831	48264
124	6900	48306
125	6959	48275
126	7026	48302
127	7094	48330
128	7158	48334
129	7210	48257
130	7275	48264
131	7340	48270
132	7403	48258
133	7464	48242
134	7528	48240
135	7595	48253
136	7662	48265
137	7724	48252
138	7786	48231
139	7853	48245
140	7916	48228
141	7979	48215
142	8045	48215
143	8114	48234
144	8173	48196
145	8245	48228
146	8299	48159
147	8371	48194
148	8436	48187
149	8505	48197
150	8562	48142
151	8635	48174
152	8702	48174
153	8775	48210
154	8836	48172
155	8897	48140
156	8961	48117
157	9019	48068
158	9073	47990
159	9130	47935
160	9191	47901
161	9251	47854
162	9311	47815
163	9366	47748
164	9419	47669
165	9475	47607
166	9526	47519
167	9580	47446
168	9636	47383
169	9690	47313
170	9751	47274
171	9813	47239
172	9871	47188
173	9925	47119
174	9981	47057
175	10042	47014
176	10100	46963
177	10159	46916
178	10216	46856
179	10271	46792
180	10330	46745
181	10388	46692
182	10439	46604
183	10491	46526
184	10542	46446
185	10599	46389
186	10658	46340
187	10713	46274
188	10769	46212
189	10823	46140
190	10878	46078
191	10937	46029
192	11000	45995
193	11056	45937
194	11117	45895
195	11173	45834
196	11230	45777
197	11288	45724
198	11345	45667
199	11401	45606
200	11458	45549
201	11514	45489
202	11570	45425
203	11627	45371
204	11680	45299
205	11739	45248
206	11796	45193
207	11861	45166
208	11918	45108
209	11974	45046
