iter	Passed	Remaining
0	100	100041
1	275	137491
2	401	133540
3	535	133298
4	735	146449
5	905	149988
6	1043	148027
7	1137	141031
8	1194	131513
9	1298	128580
10	1456	130929
11	1629	134184
12	1813	137667
13	1980	139463
14	2156	141581
15	2328	143229
16	2488	143874
17	2664	145341
18	2832	146220
19	2953	144738
20	3133	146064
21	3308	147080
22	3484	148031
23	3651	148496
24	3820	148997
25	4011	150293
26	4177	150557
27	4351	151072
28	4523	151453
29	4706	152172
30	4897	153096
31	5075	153547
32	5263	154245
33	5449	154837
34	5636	155415
35	5811	155620
36	5990	155907
37	6171	156228
38	6353	156563
39	6525	156617
40	6698	156685
41	6800	155118
42	6972	155183
43	7091	154076
44	7262	154129
45	7446	154423
46	7624	154598
47	7787	154452
48	7944	154181
49	8000	152015
50	8157	151790
51	8328	151841
52	8488	151679
53	8634	151261
54	8831	151739
55	9014	151966
56	9179	151866
57	9253	150282
58	9438	150535
59	9608	150539
60	9788	150682
61	9972	150881
62	10139	150811
63	10196	149117
64	10377	149282
65	10557	149406
66	10722	149312
67	10852	148738
68	10906	147163
69	11124	147801
70	11181	146305
71	11356	146378
72	11532	146447
73	11571	144798
74	11629	143436
75	11795	143406
76	11978	143586
77	12131	143396
78	12294	143333
79	12462	143317
80	12642	143441
81	12762	142873
82	12937	142940
83	13161	143521
84	13320	143389
85	13502	143507
86	13699	143765
87	13836	143396
88	14015	143464
89	14198	143559
90	14382	143666
91	14558	143685
92	14749	143848
93	14923	143837
94	15127	144109
95	15210	143233
96	15374	143122
97	15546	143095
98	15720	143072
99	15886	142982
100	16060	142958
101	16236	142943
102	16343	142329
103	16508	142223
104	16592	141433
105	16760	141356
106	16941	141387
107	17105	141275
108	17198	140584
109	17373	140565
110	17481	140008
111	17541	139079
112	17615	138274
113	17809	138411
114	17866	137493
115	18032	137418
116	18204	137391
117	18395	137498
118	18586	137605
119	18776	137695
120	18953	137686
121	19010	136816
122	19110	136256
123	19290	136276
124	19457	136203
125	19495	135228
126	19665	135182
127	19846	135202
128	20024	135207
129	20223	135339
130	20395	135295
131	20569	135258
132	20742	135216
133	20921	135207
134	21100	135196
135	21258	135052
136	21427	134975
137	21617	135028
138	21804	135060
139	21997	135128
140	22195	135221
141	22384	135251
142	22582	135339
143	22745	135211
144	22923	135172
145	23107	135160
146	23264	134996
147	23447	134979
148	23629	134958
149	23797	134854
150	23980	134829
151	24147	134719
152	24322	134648
153	24505	134622
154	24681	134553
155	24862	134513
156	25047	134488
157	25230	134454
158	25416	134435
159	25615	134482
160	25790	134397
161	25986	134424
162	26193	134500
163	26386	134505
164	26576	134493
165	26757	134429
166	26948	134419
167	27134	134380
168	27321	134344
169	27517	134350
170	27698	134283
171	27887	134251
172	28075	134210
173	28260	134154
174	28439	134074
175	28636	134070
176	28830	134054
177	29019	134012
178	29211	133980
179	29401	133938
180	29591	133897
181	29792	133902
182	29970	133801
183	30154	133730
184	30343	133674
185	30521	133573
186	30711	133520
187	30904	133481
188	31119	133532
189	31333	133581
190	31526	133531
191	31710	133449
192	31896	133370
193	32076	133266
194	32259	133173
195	32451	133119
196	32641	133049
197	32855	133080
198	33041	132996
199	33226	132905
200	33412	132819
201	33602	132746
202	33803	132715
203	33985	132608
204	34178	132545
205	34365	132455
