2025-01-24 11:11:23,283 INFO    MainThread:91564 [wandb_setup.py:_flush():68] Current SDK version is 0.19.4
2025-01-24 11:11:23,284 INFO    MainThread:91564 [wandb_setup.py:_flush():68] Configure stats pid to 91564
2025-01-24 11:11:23,284 INFO    MainThread:91564 [wandb_setup.py:_flush():68] Loading settings from /Users/omer.zeira/.config/wandb/settings
2025-01-24 11:11:23,284 INFO    MainThread:91564 [wandb_setup.py:_flush():68] Loading settings from /Users/omer.zeira/PycharmProjects/DSiP/wandb/settings
2025-01-24 11:11:23,284 INFO    MainThread:91564 [wandb_setup.py:_flush():68] Loading settings from environment variables
2025-01-24 11:11:23,284 INFO    MainThread:91564 [wandb_init.py:setup_run_log_directory():624] Logging user logs to /Users/omer.zeira/PycharmProjects/DSiP/wandb/run-20250124_111123-n5elmueu/logs/debug.log
2025-01-24 11:11:23,284 INFO    MainThread:91564 [wandb_init.py:setup_run_log_directory():625] Logging internal logs to /Users/omer.zeira/PycharmProjects/DSiP/wandb/run-20250124_111123-n5elmueu/logs/debug-internal.log
2025-01-24 11:11:23,284 INFO    MainThread:91564 [wandb_init.py:init():743] calling init triggers
2025-01-24 11:11:23,284 INFO    MainThread:91564 [wandb_init.py:init():748] wandb.init called with sweep_config: {}
config: {'learning_rate': 0.02, 'architecture': 'CNN', 'dataset': 'CIFAR-100', 'epochs': 10}
2025-01-24 11:11:23,285 INFO    MainThread:91564 [wandb_init.py:init():776] starting backend
2025-01-24 11:11:24,126 INFO    MainThread:91564 [wandb_init.py:init():780] sending inform_init request
2025-01-24 11:11:24,164 INFO    MainThread:91564 [backend.py:_multiprocessing_setup():97] multiprocessing start_methods=spawn,fork,forkserver, using: spawn
2025-01-24 11:11:24,165 INFO    MainThread:91564 [wandb_init.py:init():795] backend started and connected
2025-01-24 11:11:24,167 INFO    MainThread:91564 [wandb_init.py:init():888] updated telemetry
2025-01-24 11:11:24,199 INFO    MainThread:91564 [wandb_init.py:init():915] communicating run to backend with 90.0 second timeout
2025-01-24 11:11:25,321 INFO    MainThread:91564 [wandb_init.py:init():967] starting run threads in backend
2025-01-24 11:11:25,405 INFO    MainThread:91564 [wandb_run.py:_console_start():2409] atexit reg
2025-01-24 11:11:25,405 INFO    MainThread:91564 [wandb_run.py:_redirect():2259] redirect: wrap_raw
2025-01-24 11:11:25,405 INFO    MainThread:91564 [wandb_run.py:_redirect():2324] Wrapping output streams.
2025-01-24 11:11:25,405 INFO    MainThread:91564 [wandb_run.py:_redirect():2349] Redirects installed.
2025-01-24 11:11:25,407 INFO    MainThread:91564 [wandb_init.py:init():1009] run started, returning control to user process
2025-01-24 11:11:25,407 INFO    MainThread:91564 [wandb_run.py:_finish():2134] finishing run omerzeira1-ydata/my-awesome-project/n5elmueu
2025-01-24 11:11:25,407 INFO    MainThread:91564 [wandb_run.py:_atexit_cleanup():2374] got exitcode: 0
2025-01-24 11:11:25,407 INFO    MainThread:91564 [wandb_run.py:_restore():2356] restore
2025-01-24 11:11:25,407 INFO    MainThread:91564 [wandb_run.py:_restore():2362] restore done
2025-01-24 11:11:28,280 INFO    MainThread:91564 [wandb_run.py:_footer_history_summary_info():3976] rendering history
2025-01-24 11:11:28,281 INFO    MainThread:91564 [wandb_run.py:_footer_history_summary_info():4008] rendering summary
2025-01-24 11:11:28,282 INFO    MainThread:91564 [wandb_run.py:_footer_sync_info():3937] logging synced files
